SEX,INSR_BEGIN,INSR_END,EFFECTIVE_YR,INSR_TYPE,INSURED_VALUE,PREMIUM,OBJECT_ID,PROD_YEAR,SEATS_NUM,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE,CLAIM_PAID
0,08-AUG-17,07-AUG-18,08,1202,519755.22,5097.83,5000029885,2007,4,6,Pick-up,3153,NISSAN,Own Goods,
0,08-AUG-16,07-AUG-17,08,1202,519755.22,6556.52,5000029885,2007,4,6,Pick-up,3153,NISSAN,Own Goods,
0,08-AUG-15,07-AUG-16,08,1202,519755.22,6556.52,5000029885,2007,4,6,Pick-up,3153,NISSAN,Own Goods,
0,08-AUG-14,07-AUG-15,08,1202,519755.22,5102.83,5000029885,2007,4,6,Pick-up,3153,NISSAN,Own Goods,
0,08-AUG-17,07-AUG-18,08,1202,1400000,13304.87,5000029901,2010,4,7,Pick-up,2494,TOYOTA,Own Goods,
0,08-AUG-16,07-AUG-17,08,1202,1400000,16438.15,5000029901,2010,4,7,Pick-up,2494,TOYOTA,Own Goods,
0,08-AUG-15,07-AUG-16,08,1202,1400000,16438.15,5000029901,2010,4,7,Pick-up,2494,TOYOTA,Own Goods,365250
0,08-AUG-14,07-AUG-15,08,1202,285451.24,3931.23,5000029901,2010,4,7,Pick-up,2494,TOYOTA,Own Goods,12152.73
1,24-NOV-17,23-NOV-18,12,1202,3400000,26804.72,5000030358,2012,0,220,Truck,12880,IVECO,General Cartage,
1,24-NOV-16,23-NOV-17,12,1202,3400000,26804.72,5000030358,2012,0,220,Truck,12880,IVECO,General Cartage,
1,24-NOV-15,23-NOV-16,12,1202,3400000,26205.9,5000030358,2012,0,220,Truck,12880,IVECO,General Cartage,
1,24-NOV-14,23-NOV-15,12,1202,3400000,21617.71,5000030358,2012,0,220,Truck,12880,IVECO,General Cartage,159754.37
2,03-FEB-15,02-FEB-16,14,1202,300000,1956.2,5000031259,1999,11,0,Bus,2985,TOYOTA,Fare Paying Passengers,
1,09-MAY-18,08-MAY-19,17,1202,0,1993.3,5000031274,2000,12,12,Bus,2985,TOYOTA,Fare Paying Passengers,
1,09-MAY-17,08-MAY-18,17,1202,0,1949.3,5000031274,2000,12,12,Bus,2985,TOYOTA,Fare Paying Passengers,
1,28-NOV-15,27-NOV-16,15,1202,0,1956.2,5000031274,2000,12,12,Bus,2985,TOYOTA,Fare Paying Passengers,
1,07-DEC-14,06-DEC-15,10,1202,0,3219,5000031283,1999,0,164.30,Truck,13798,IVECO,General Cartage,
1,01-JUL-14,30-JUN-15,14,1202,0,2776.8,5000031341,1982,0,94,Truck,13798,FIAT,General Cartage,
2,04-NOV-15,03-NOV-16,12,1202,0,2599.7,5000031441,1985,1,36.7,Truck,6560,FIAT,General Cartage,
2,30-OCT-14,29-OCT-15,12,1202,0,2599.7,5000031441,1985,1,36.7,Truck,6560,FIAT,General Cartage,
1,28-NOV-17,27-NOV-18,10,1202,2550000,23784.79,5000031488,2010,1,155.1,Truck,0,IVECO,General Cartage,
1,28-NOV-16,27-NOV-17,10,1202,2550000,23361.31,5000031488,2010,1,155.1,Truck,0,IVECO,General Cartage,
